key,name,other_names,annotation,notes
quevedo,Francisco de Quevedo,,"Destacado escritor y poeta español del Siglo de Oro, conocido por su ingenio satírico y su aguda crítica social.",
gaspar,Gaspar de Guzmán,,"Conocido como el Conde-Duque de Olivares, sirvió como valido del rey Felipe IV de España. Olivares es recordado por sus intentos de centralizar el poder y reformar la administración española, aunque sus políticas también llevaron a conflictos y revueltas en Cataluña y Portugal.",
melisso,Melisso Mago,,"Mago ficticio que representa a un sabio con habilidades esotéricas. Esta figura encarna la tradición del mago como un erudito capaz de acceder a conocimientos prohibidos o misteriosos, propios del ocultismo.",
neron,Nerón Claudio César Augusto Germánico,,"Antiguo emperador del Imperio romano cuyo reinado marcó el final de la dinastía Julio-Claudia (que hace referencia a los primeros cinco emperadores romanos emparentados con Julio César), nombrado sucesor por su tío Claudio quien anteriormente lo había adoptado.",
quevedo,Francisco de Quevedo,,"Noble, político y escritor español del Siglo de Oro.",
licurgo,Licurgo,,"Fundador semimítico de la Esparta clásica y responsable de todas las leyes de la ciudad-estado, así como de sus instituciones militares y políticas. Transformó Esparta en una de las potencias militares más eficaces de la antigua Grecia.",
augusti,San Agustín de Hipona,San Agustín ,"Escritor, teólogo, filósofo, cristiano y obispo de Hipona, desde donde dirigió una serie de luchas contra las herejías de los maniqueos, los donatistas y el pelagianismo.",
horozco,Sebastián de Horozco,,"Paremiólogo, historiador, poeta y dramaturgo español del Siglo de Oro.",
ramirez,Antonia Ramírez,,"Figura destacada en el mundo de la imprenta. Luego del fallecimiento de su esposo, Juan Fernández, asumió el control de la imprenta familiar. Desafiando los estereotipos de la época. El rol de las mujeres en la imprenta fue fundamental para su expansión.",
adan,Adán,,"Según la antropogonía de las religiones abrahámicas, Adam es el primer hombre.",
eva,Eva,,"Según las religiones abrahámicas es la primera mujer que Dios creó sobre la Tierra con el objetivo de formar la primera pareja humana junto a Adán, el primer hombre.",
jose,Ioseph,,"José o Iōsēph en latín es un personaje importante del libro bíblico del Génesis, ancestro de dos tribus de Israel.",
cristo,Christo,,"El significado bíblico de Cristo es ""Mesías"". ""Cristo"" proviene de la palabra griega Christos, que significa ""ungido"" o ""elegido"".",
jesus,Iesu de Nazare,,"Frase latina Iesus Nazarenus Rex Iudaeorum, la cual se traduce al español como Jesús de Nazaret, rey de los judíos.",
mujerdepilato,Claudia Prócula,,"Fue la esposa de Poncio Pilato, y su historia adquiere relevancia en los eventos que rodearon el juicio y la crucifixión de Jesús.",
jacob ,Iacob,,"Jacob (en hebreo: Yaqōb, en griego, Iακώβ; en latín, Iacobus o Iacob) es un personaje bíblico descrito en el Libro del Génesis.",
job,Iob,,"Conocido como Job en la tradición bíblica, es el protagonista del Libro de Job, uno de los textos poéticos de la Biblia. Se destaca por su enorme paciencia y su fe inalterable, incluso ante grandes adversidades y desafíos.",
verardi,Carlo Verardi,,"Archidiácono de Cesena y secretario apostólico bajo los pontificados de Paulo II, Sexto IV, Inocencio VIII y Alejandro VI",
fernando,Fernando II de Aragón,,"Rey de Aragón, de Castilla, ​Sicilia, Nápoles, Cerdeña y Navarra. Su matrimonio con Isabel I de Castilla adquiere relevancia junto con la recuperación de Granada",
isabel,Isabel I de Castilla,,"Reina de Castilla​ desde 1474 hasta 1504, reina consorte de Sicilia desde 1469 y de Aragón desde 1479,​ por su matrimonio con Fernando de Aragón",
bacan,Alvaro Baçan,,"Álvaro de Bazán y Guzmán (Granada, 1526-Lisboa,1588) fue el primer Marqués de Santa Cruz, un título nobiliario español que le concedió el rey Felipe II en 1569. Fue un militar y almirante español que participó en la batalla de Lepanto y venció en Túnez, las Islas Terceras y Alta Mar.",
mora,Christoval de Mora,,"Cristóbal de Moura y Távora (Lisboa, 1538-Madrid, 1613) fue un alto dignatario de la corte de Felipe II. En 1593 en su estancia en Madrid, cuando volvía de una comisión del Cabildo de Córdoba en Salamanca, Gongora entró en contacto con él y pudo entregarle en mano el poema.",